hero1,hero2,hero3,hero4,hero5,result
43,55,61,83,88,1
4,26,27,83,109,1
26,29,71,74,87,1
10,48,52,83,91,1
37,41,48,61,84,1
3,14,48,77,83,1
36,73,81,84,87,1
48,63,79,83,84,1
37,41,84,87,117,1
14,23,27,43,83,1
23,58,91,97,120,1
48,61,83,84,91,1
23,35,58,97,120,0
23,39,84,87,91,1
45,73,87,109,117,1
28,64,84,111,117,1
28,64,71,84,111,0
43,69,71,83,109,0
3,14,31,32,83,1
6,36,45,55,74,0
55,11,27,51,100,1
51,70,73,81,84,1
3,14,31,83,106,1
3,11,31,32,83,0
14,23,39,43,83,0
20,27,73,87,109,1
3,36,45,48,84,1
20,27,31,67,73,1
36,48,90,91,99,0
14,31,62,81,85,1
3,20,24,31,87,0
14,51,71,73,119,0
8,53,83,107,119,0
48,73,81,104,107,1
29,36,77,81,97,1
36,79,100,101,107,1
20,43,48,58,97,1
43,51,101,102,107,1
8,48,53,77,107,1
37,41,51,77,104,0
3,14,31,71,83,0
26,29,37,41,81,1
43,48,55,80,97,1
8,27,36,91,107,0
23,45,51,100,107,0
24,48,55,73,101,1
29,48,79,101,106,0
25,29,43,81,102,1
26,29,43,70,103,0
24,48,97,100,104,1
36,73,80,97,104,0
48,64,67,81,97,1
24,29,34,43,48,1
64,81,87,94,97,1
24,48,81,104,106,1
10,25,43,72,81,1
25,74,79,83,110,1
6,37,55,104,106,0
6,63,72,81,104,1
19,24,62,72,90,1
24,25,43,54,72,1
10,55,73,79,111,1
2,36,55,67,73,1
10,24,25,34,37,0
10,29,49,81,85,0
6,72,79,94,110,1
25,34,60,94,111,0
25,26,63,77,79,0
25,30,64,65,110,1
17,25,43,72,90,0
6,32,34,67,100,1
47,62,64,86,111,1
23,32,34,100,111,0
26,36,73,86,111,1
26,27,36,55,73,1
36,55,61,73,112,1
20,52,70,84,96,1
26,42,65,77,100,1
32,35,42,55,79,0
6,32,49,72,87,0
11,34,58,63,120,1
30,64,65,94,96,1
6,7,63,75,84,0
30,64,87,96,110,1
30,47,62,64,70,0
7,26,36,79,100,1
35,64,72,96,120,1
20,36,58,84,97,1
6,28,65,67,96,1
6,35,64,84,96,0
62,64,72,96,111,1
0,32,64,72,80,1
0,8,87,99,110,0
30,58,61,64,120,1
26,36,50,55,73,0
4,25,26,64,97,1
51,58,64,72,97,1
6,34,80,81,101,0
26,51,62,65,79,1
7,26,42,63,93,1
7,25,54,58,72,1
20,29,52,87,96,1
47,62,64,72,87,1
4,7,16,30,121,1
1,26,42,83,97,1
20,32,52,67,87,1
42,63,84,98,110,0
36,40,49,72,85,0
9,25,41,71,84,0
57,63,72,87,96,1
2,20,67,97,99,1
20,29,57,62,83,1
10,26,36,61,68,1
14,72,87,93,97,1
7,52,64,72,78,1
6,21,57,80,97,0
2,30,64,96,121,0
24,57,72,87,97,1
7,26,58,61,83,0
20,43,47,85,97,0
14,32,64,73,83,0
12,16,32,52,83,1
1,12,29,44,117,0
31,36,47,69,97,1
31,63,84,87,99,1
14,16,71,83,91,1
12,16,19,47,58,0
5,16,35,47,107,1
14,32,52,80,87,0
12,26,36,71,87,0
43,69,96,107,116,1
14,31,83,91,99,1
37,41,67,101,104,1
46,47,67,97,116,1
16,47,52,87,101,0
32,55,91,107,111,0
42,63,68,85,86,1
31,49,60,75,84,1
31,45,47,73,83,1
31,37,84,85,97,1
47,63,65,68,120,0
14,47,51,68,97,1
33,35,45,68,116,1
14,31,35,47,83,0
37,51,63,85,101,1
42,45,49,84,85,1
36,50,81,97,101,1
6,37,83,100,101,1
31,35,83,84,86,1
35,55,60,68,104,1
40,45,68,71,91,0
27,31,35,51,102,1
37,68,83,97,101,1
45,60,73,85,101,1
14,45,51,83,100,1
27,31,42,68,94,1
32,37,51,70,101,1
27,42,84,85,97,0
31,84,85,91,104,0
14,31,37,83,94,1
14,39,42,49,51,0
20,31,35,83,86,0
0,16,104,108,112,0
7,16,77,100,107,0
11,40,77,104,109,0
0,31,51,86,106,0
0,19,55,62,119,1
19,29,46,86,91,0
9,55,64,104,111,1
45,62,83,102,111,0
28,31,46,55,75,1
20,32,48,55,104,0
25,69,74,110,119,0
14,49,81,85,105,1
28,30,31,85,99,0
19,26,50,62,75,1
8,19,43,51,81,1
7,9,28,48,104,1
19,57,63,81,104,1
28,77,99,105,120,1
24,46,48,62,104,1
26,49,55,77,120,1
12,31,74,85,96,1
19,69,81,91,104,1
18,32,37,77,116,1
18,31,49,83,113,0
5,6,74,81,104,0
14,36,82,85,96,1
48,77,82,101,113,1
3,9,25,46,64,1
5,25,30,63,77,1
16,21,57,94,115,1
16,32,91,102,118,1
12,27,68,75,115,1
14,16,32,52,118,1
0,29,49,53,83,1
24,39,70,102,104,1
49,57,67,88,96,1
29,70,74,102,118,1
14,64,71,83,85,1
16,40,57,82,86,0
29,46,64,71,118,1
18,37,70,83,106,0
32,34,85,86,118,0
27,57,68,75,80,1
14,21,27,49,88,1
29,52,57,71,75,0
27,57,68,91,118,1
1,12,21,64,111,1
36,47,57,61,68,0
14,74,83,85,99,1
2,57,61,85,96,0
21,27,46,68,115,1
12,24,83,109,115,1
16,46,62,81,118,0
21,27,29,64,99,1
14,21,48,91,99,0
54,60,68,115,121,0
3,70,83,102,117,0
14,24,68,96,118,1
21,29,49,102,118,0
14,27,64,68,86,0
6,63,72,75,115,0
11,68,74,83,115,0
2,27,46,88,92,0
54,57,75,85,96,1
8,32,48,61,75,0
14,29,42,48,94,0
14,29,62,64,83,0
14,49,60,71,85,1
14,32,44,46,60,1
10,30,32,44,64,1
44,46,54,61,107,1
14,74,75,85,115,0
21,40,70,72,100,1
24,57,67,77,96,1
47,57,83,92,110,1
1,36,45,72,85,0
14,61,75,77,96,1
7,40,57,70,100,1
12,30,44,72,115,1
12,32,44,54,107,0
50,83,92,101,106,0
14,83,99,109,110,1
35,39,72,75,83,1
48,61,72,83,99,1
44,46,62,67,80,1
12,44,83,96,110,1
25,32,57,61,75,1
2,30,57,80,100,1
14,48,62,83,96,0
8,25,57,79,99,0
12,37,45,67,92,1
27,70,72,82,107,1
37,64,67,85,115,1
11,85,100,107,115,1
32,36,74,101,107,1
35,67,75,108,115,0
11,32,36,64,67,1
12,32,44,61,85,1
40,67,72,75,100,0
9,24,46,77,85,0
21,27,44,46,115,0
12,44,96,119,121,1
36,37,45,72,93,1
32,34,36,83,91,0
23,32,33,61,85,1
12,25,30,82,115,1
30,34,64,106,111,1
28,33,34,67,122,1
12,32,36,107,110,1
16,60,85,106,113,1
12,32,60,85,110,0
4,16,24,30,111,0
18,34,61,88,104,0
37,72,75,115,120,0
7,32,67,70,106,1
14,16,37,82,83,1
36,96,101,104,106,1
12,32,44,74,104,1
32,36,64,74,82,1
4,24,32,70,87,0
34,37,48,96,104,0
30,32,36,99,102,0
8,30,54,79,80,1
6,14,32,53,61,1
8,58,72,85,111,1
2,27,63,80,87,1
2,27,49,60,101,1
12,44,87,97,115,0
23,30,74,80,111,1
18,23,32,83,106,1
8,17,75,86,111,1
2,27,30,80,110,1
17,30,32,36,64,1
33,72,83,96,106,0
16,23,67,80,110,1
32,36,75,94,104,1
2,23,27,30,54,1
11,68,75,80,110,1
11,32,33,58,119,1
8,61,67,70,110,1
11,17,61,86,111,0
8,16,45,58,111,1
45,75,85,96,110,1
27,68,75,82,112,0
7,30,58,64,111,1
25,30,64,86,110,1
18,23,74,75,99,1
7,58,67,80,111,1
8,30,74,75,96,0
30,54,75,85,99,1
23,32,44,104,110,1
54,61,64,67,85,1
14,49,70,80,83,1
11,32,44,83,99,1
8,31,80,83,94,1
4,11,18,106,113,1
40,45,49,50,85,1
64,80,83,92,121,0
7,54,61,83,85,1
64,70,94,99,104,1
11,25,45,58,85,0
14,27,60,85,110,0
8,54,67,80,88,1
7,50,75,83,106,1
25,30,54,64,99,0
48,64,65,67,106,0
18,74,83,101,115,0
18,27,75,82,85,1
7,40,94,104,111,1
54,58,87,90,111,1
86,101,104,111,117,0
3,54,57,60,85,1
36,57,82,87,122,0
57,60,68,113,117,0
2,14,27,35,83,0
7,30,61,85,110,1
7,61,94,107,111,0
